Id,start_time,end_time,stage,score
5,2022-10-31 08:00,2022-10-31 08:07,REM,71
5,2022-10-31 08:07,2022-10-31 08:08,Awake,71
5,2022-10-31 08:08,2022-10-31 08:11,REM,71
5,2022-10-31 08:11,2022-10-31 08:12,Awake,71
5,2022-10-31 08:12,2022-10-31 08:14,REM,71
5,2022-10-31 08:14,2022-10-31 08:23,Awake,71
6,2022-11-01 00:51,2022-11-01 01:08,Light,76
6,2022-11-01 01:08,2022-11-01 01:35,Deep,76
6,2022-11-01 01:35,2022-11-01 01:37,Awake,76
6,2022-11-01 01:37,2022-11-01 01:56,Light,76
6,2022-11-01 01:56,2022-11-01 02:03,Deep,76
6,2022-11-01 02:03,2022-11-01 02:04,Light,76
6,2022-11-01 02:04,2022-11-01 02:19,Deep,76
6,2022-11-01 02:19,2022-11-01 02:20,Awake,76
6,2022-11-01 02:20,2022-11-01 03:00,Light,76
6,2022-11-01 03:00,2022-11-01 03:08,REM,76
6,2022-11-01 03:08,2022-11-01 03:10,Awake,76
6,2022-11-01 03:10,2022-11-01 03:13,Light,76
6,2022-11-01 03:13,2022-11-01 03:14,Awake,76
6,2022-11-01 03:14,2022-11-01 03:37,Light,76
6,2022-11-01 03:37,2022-11-01 03:38,Awake,76
6,2022-11-01 03:38,2022-11-01 04:06,Light,76
6,2022-11-01 04:06,2022-11-01 04:08,Deep,76
6,2022-11-01 04:08,2022-11-01 04:13,Light,76
6,2022-11-01 04:13,2022-11-01 04:14,Awake,76
6,2022-11-01 04:14,2022-11-01 04:56,Light,76
6,2022-11-01 04:56,2022-11-01 04:57,Awake,76
6,2022-11-01 04:57,2022-11-01 05:00,Light,76
6,2022-11-01 05:00,2022-11-01 05:04,Awake,76
6,2022-11-01 05:04,2022-11-01 05:05,Light,76
6,2022-11-01 05:05,2022-11-01 06:04,REM,76
6,2022-11-01 06:04,2022-11-01 06:06,Light,76
6,2022-11-01 06:06,2022-11-01 06:07,Awake,76
6,2022-11-01 06:07,2022-11-01 06:10,Light,76
6,2022-11-01 06:10,2022-11-01 06:11,Awake,76
6,2022-11-01 06:11,2022-11-01 06:34,Light,76
6,2022-11-01 06:34,2022-11-01 06:35,Awake,76
6,2022-11-01 06:35,2022-11-01 06:45,Light,76
6,2022-11-01 06:45,2022-11-01 06:46,Awake,76
6,2022-11-01 06:46,2022-11-01 07:10,Light,76
6,2022-11-01 07:10,2022-11-01 07:12,Awake,76
6,2022-11-01 07:12,2022-11-01 07:13,Light,76
6,2022-11-01 07:13,2022-11-01 07:45,REM,76
6,2022-11-01 07:45,2022-11-01 07:50,Awake,76
7,2022-11-02 00:35,2022-11-02 00:54,Light,83
7,2022-11-02 00:54,2022-11-02 01:28,Deep,83
7,2022-11-02 01:28,2022-11-02 01:29,Light,83
7,2022-11-02 01:29,2022-11-02 01:30,Awake,83
7,2022-11-02 01:30,2022-11-02 01:32,Light,83
7,2022-11-02 01:32,2022-11-02 01:33,Awake,83
7,2022-11-02 01:33,2022-11-02 01:52,Light,83
7,2022-11-02 01:52,2022-11-02 01:53,Awake,83
7,2022-11-02 01:53,2022-11-02 02:10,Light,83
7,2022-11-02 02:10,2022-11-02 02:28,Deep,83
7,2022-11-02 02:28,2022-11-02 02:33,Light,83
7,2022-11-02 02:33,2022-11-02 02:34,Awake,83
7,2022-11-02 02:34,2022-11-02 02:35,Light,83
7,2022-11-02 02:35,2022-11-02 02:37,Awake,83
7,2022-11-02 02:37,2022-11-02 02:50,Light,83
7,2022-11-02 02:50,2022-11-02 03:04,REM,83
7,2022-11-02 03:04,2022-11-02 03:05,Awake,83
7,2022-11-02 03:05,2022-11-02 03:08,Light,83
